国家/地区,点击次数,展示,点击率,排名
美国,727,10838,6.71%,7.61
澳大利亚,169,4100,4.12%,6.18
英国,90,1638,5.49%,7.28
印度,42,1190,3.53%,6.26
菲律宾,24,788,3.05%,6.14
加拿大,19,798,2.38%,8.03
新西兰,13,258,5.04%,5.91
新加坡,12,183,6.56%,5.43
瑞典,9,72,12.5%,4.69
爱尔兰,7,193,3.63%,5.34
马来西亚,5,170,2.94%,5.48
阿拉伯联合酋长国,5,123,4.07%,5.6
日本,4,85,4.71%,5.4
德国,4,74,5.41%,4.64
中国香港,4,67,5.97%,4.67
缅甸,4,41,9.76%,4.66
泰国,4,31,12.9%,4.77
西班牙,3,119,2.52%,4.79
尼泊尔,3,87,3.45%,4.92
墨西哥,3,48,6.25%,5.06
斯里兰卡,3,37,8.11%,4.78
埃及,3,33,9.09%,5.58
卡塔尔,3,19,15.79%,4.37
澳门,3,7,42.86%,3.71
巴基斯坦,2,190,1.05%,5.64
南非,2,110,1.82%,6.15
越南,2,70,2.86%,4.94
捷克,2,66,3.03%,4.8
意大利,2,49,4.08%,5.02
荷兰,2,46,4.35%,4.17
挪威,2,39,5.13%,3.79
埃塞俄比亚,2,19,10.53%,4.89
牙买加,2,17,11.76%,4.29
哥斯达黎加,2,14,14.29%,4.79
印度尼西亚,1,86,1.16%,5.13
法国,1,41,2.44%,4.93
葡萄牙,1,33,3.03%,4.33
中国,1,31,3.23%,6.13
沙特阿拉伯,1,26,3.85%,5.04
以色列,1,25,4%,5.08
瑞士,1,23,4.35%,4.61
韩国,1,23,4.35%,4.61
克罗地亚,1,22,4.55%,5.27
斐济,1,20,5%,4.35
比利时,1,18,5.56%,4.44
特立尼达和多巴哥,1,16,6.25%,4.5
乌兹别克斯坦,1,15,6.67%,5.53
台湾,1,14,7.14%,4.5
肯尼亚,1,14,7.14%,4.64
斯洛文尼亚,1,14,7.14%,5.79
未知地区,1,13,7.69%,5.92
爱沙尼亚,1,11,9.09%,3.64
伯利兹,1,11,9.09%,3.82
拉脱维亚,1,11,9.09%,4.55
科威特,1,10,10%,4.7
保加利亚,1,9,11.11%,4.67
曼岛,1,9,11.11%,5.56
阿尔巴尼亚,1,7,14.29%,4.71
立陶宛,1,6,16.67%,6
叙利亚,1,5,20%,6.2
泽西岛,1,3,33.33%,3.67
马其顿,1,1,100%,3
东帝汶,1,1,100%,3
乌克兰,1,1,100%,3
坦桑尼亚,1,1,100%,5
孟加拉,0,68,0%,4.54
丹麦,0,41,0%,4.46
柬埔寨,0,25,0%,5.04
希腊,0,23,0%,6.17
摩洛哥,0,22,0%,4.91
关岛,0,19,0%,5.11
尼日利亚,0,18,0%,4.5
俄罗斯,0,17,0%,4.35
土耳其,0,16,0%,5.38
约旦,0,14,0%,4.64
毛里求斯,0,14,0%,4.64
黎巴嫩,0,13,0%,5.15
蒙古,0,13,0%,5.38
巴巴多斯,0,13,0%,5.54
马尔代夫,0,12,0%,4.08
芬兰,0,12,0%,4.58
多米尼加共和国,0,12,0%,5.08
巴西,0,12,0%,5.25
波兰,0,12,0%,6.25
罗马尼亚,0,10,0%,5
巴哈马,0,7,0%,5.29
塞尔维亚,0,7,0%,5.29
伊朗,0,7,0%,5.71
安提瓜和巴布达,0,6,0%,4.5
哈萨克斯坦,0,6,0%,4.5
格鲁吉亚,0,6,0%,4.83
巴布亚新几内亚,0,6,0%,4.83
马拉维,0,6,0%,5
波多黎各,0,6,0%,5
巴林,0,6,0%,5.83
开曼群岛,0,6,0%,6
加纳,0,6,0%,6.33
匈牙利,0,5,0%,4
巴拿马,0,5,0%,4.8
伊拉克,0,5,0%,5.4
阿尔及利亚,0,5,0%,5.8
格林纳达,0,5,0%,7
赞比亚,0,4,0%,3.5
波斯尼亚和黑塞哥维那,0,4,0%,4
黑山,0,4,0%,4.25
文莱,0,4,0%,5
冰岛,0,3,0%,3.67
奥地利,0,3,0%,4
老挝,0,3,0%,4.67
阿曼,0,3,0%,4.67
秘鲁,0,3,0%,4.67
塔吉克斯坦,0,3,0%,5
突尼斯,0,3,0%,5.33
北马里亚纳群岛,0,3,0%,5.67
萨摩亚,0,3,0%,5.67
荷属圣马丁岛,0,3,0%,6
也门,0,3,0%,7
塞舌尔,0,2,0%,3
吉尔吉斯斯坦,0,2,0%,3.5
利比亚,0,2,0%,3.5
马耳他,0,2,0%,3.5
乌干达,0,2,0%,4
津巴布韦,0,2,0%,4
多米尼加,0,2,0%,4.5
厄瓜多尔,0,2,0%,4.5
格恩西岛,0,2,0%,4.5
圭亚那,0,2,0%,4.5
塞内加尔,0,2,0%,4.5
斯洛伐克,0,2,0%,4.5
喀麦隆,0,2,0%,5
汤加,0,2,0%,5
圣基茨和尼维斯,0,2,0%,5.5
苏里南,0,2,0%,5.5
美属维尔京群岛,0,2,0%,5.5
科索沃,0,2,0%,5.5
白俄罗斯,0,2,0%,6
智利,0,2,0%,6
圣卢西亚,0,2,0%,6
莱索托,0,2,0%,6
摩尔多瓦,0,2,0%,6
圣文森特和格林纳丁斯,0,2,0%,7
直布罗陀,0,1,0%,3
亚美尼亚,0,1,0%,4
不丹,0,1,0%,4
哥伦比亚,0,1,0%,4
塞浦路斯,0,1,0%,4
冈比亚,0,1,0%,4
卢森堡,0,1,0%,4
乌拉圭,0,1,0%,4
洪都拉斯,0,1,0%,5
阿鲁巴,0,1,0%,6
斯威士兰,0,1,0%,6
博茨瓦纳,0,1,0%,7
莫桑比克,0,1,0%,7
特克斯和凯科斯群岛,0,1,0%,8
危地马拉,0,1,0%,9
