日期,点击次数,展示,点击率,排名
2026-03-28,2,109,1.83%,9
2026-03-29,1,128,0.78%,9.1
2026-03-30,2,176,1.14%,8.7
2026-03-31,5,173,2.89%,8.2
2026-04-01,10,211,4.74%,8.2
2026-04-02,13,327,3.98%,8
2026-04-03,3,97,3.09%,7.8
2026-04-04,1,88,1.14%,7.4
2026-04-05,2,94,2.13%,7.6
2026-04-06,1,69,1.45%,8.2
2026-04-07,2,67,2.99%,7.9
2026-04-08,1,80,1.25%,7.1
2026-04-09,1,43,2.33%,7.1
2026-04-10,3,37,8.11%,7.2
2026-04-11,0,65,0%,7.6
2026-04-12,0,73,0%,7.8
2026-04-13,3,74,4.05%,9
2026-04-14,11,93,11.83%,9.6
2026-04-15,7,113,6.19%,9.2
2026-04-16,16,147,10.88%,7.1
2026-04-17,4,158,2.53%,7.3
2026-04-18,2,152,1.32%,7.3
2026-04-19,2,135,1.48%,7.2
2026-04-20,9,140,6.43%,7.4
2026-04-21,10,210,4.76%,7.3
2026-04-22,7,203,3.45%,7.8
2026-04-23,14,248,5.65%,7.7
2026-04-24,13,226,5.75%,7.1
2026-04-25,4,185,2.16%,6.6
2026-04-26,3,112,2.68%,6.7
2026-04-27,10,134,7.46%,7.4
2026-04-28,15,260,5.77%,8.2
2026-04-29,14,240,5.83%,8
2026-04-30,27,362,7.46%,8
2026-05-01,15,479,3.13%,7.9
2026-05-02,8,220,3.64%,6.6
2026-05-03,5,133,3.76%,6.4
2026-05-04,10,163,6.13%,8
2026-05-05,18,243,7.41%,7
2026-05-06,31,389,7.97%,6.4
2026-05-07,34,447,7.61%,6.2
2026-05-08,32,588,5.44%,6.3
2026-05-09,9,417,2.16%,5.7
2026-05-10,9,304,2.96%,6
2026-05-11,24,437,5.49%,6.7
2026-05-12,19,390,4.87%,7.7
2026-05-13,28,449,6.24%,6.8
2026-05-14,15,358,4.19%,6.7
2026-05-15,34,492,6.91%,6.8
2026-05-16,9,333,2.7%,7
2026-05-17,4,239,1.67%,6.1
2026-05-18,33,404,8.17%,6.1
2026-05-19,44,424,10.38%,6.5
2026-05-20,58,449,12.92%,6.2
2026-05-21,40,462,8.66%,6.7
2026-05-22,44,523,8.41%,5.4
2026-05-23,25,455,5.49%,4.7
2026-05-24,19,435,4.37%,5.6
2026-05-25,15,316,4.75%,5.6
2026-05-26,34,358,9.5%,5.6
2026-05-27,29,392,7.4%,5.8
2026-05-28,21,322,6.52%,5.9
2026-05-29,22,406,5.42%,6.4
2026-05-30,3,297,1.01%,7.4
2026-05-31,6,208,2.88%,6.7
2026-06-01,32,311,10.29%,6.3
2026-06-02,13,205,6.34%,6.3
2026-06-03,11,203,5.42%,6.9
2026-06-04,12,179,6.7%,6.5
2026-06-05,14,270,5.19%,7.5
2026-06-06,10,236,4.24%,7.3
2026-06-07,3,111,2.7%,6.6
2026-06-08,8,146,5.48%,6.3
2026-06-09,16,226,7.08%,6.7
2026-06-10,18,193,9.33%,6.1
2026-06-11,19,201,9.45%,6.3
2026-06-12,10,200,5%,6.7
2026-06-13,7,323,2.17%,7.2
2026-06-14,5,260,1.92%,6.9
2026-06-15,11,213,5.16%,6.9
2026-06-16,19,260,7.31%,6.6
2026-06-17,10,278,3.6%,6.8
2026-06-18,12,259,4.63%,6.8
2026-06-19,11,349,3.15%,6.6
2026-06-20,9,340,2.65%,6.8
2026-06-21,9,240,3.75%,7.5
2026-06-22,9,169,5.33%,7.3
2026-06-23,9,281,3.2%,7.5
2026-06-24,11,245,4.49%,7.7
2026-06-25,8,175,4.57%,8.2
2026-06-26,0,147,0%,8.1
2026-06-27,3,156,1.92%,7.9
